Moeen Ali
Jofra Archer
Jonathan Bairstow
Sam Billings
Jos Buttler
Sam Curran
Tom Curran
Chris Jordan
Liam Livingstone
Dawid Malan
Adil Rashid
Jason Roy
Ben Stokes
Reece Topley
Mark Wood
Virat Kohli
Rohit Sharma
KL Rahul
Shikhar Dhawan
Shreyas Iyer
Suryakumar Yadav
Hardik pandiya
Rishabh Pant
Ishan Kishan
Yuzvendra Chahal
Varun Chakravarthy
Axar Patel
Washington Sundar
Rahul Tewatia
Thangarasu Natarajan
Bhuvneshwar Kumar
Deepak Chahar
Navdeep Saini
Shardul Thakur
